Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Genus,Origin,Provincial Status,National Status,Global Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Critical Notes
Ampelisca unsocalae,"J.L. Barnard, 1960",,amphipod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Synopioidea,Ampeliscidae,,Ampelisca,native,,,,reported,unobserved,1961-06-22,,RBCM,976-01146-019,1898311199,,,,,313004,
Ampithoe lacertosa,"Spence Bate, 1858",,sea lettuce sea flea,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Corophioidea,Ampithoidae,,Ampithoe,native,,,,reported,unobserved,2009-02-14,Andy Lamb,PMLS,,,,,,,260501,
Caprella alaskana,"Mayer, 1903",,Alaskan skeleton shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Caprelloidea,Caprellidae,Caprellinae,Caprella,native,,,,reported,unobserved,2008-06-21,Andy Lamb,PMLS,,,,,,,508889,
Caprella mutica,"Schurin, 1935",,Japanese skeleton shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Caprelloidea,Caprellidae,Caprellinae,Caprella,native,,,,new 2019,observed,,,,,,2019-05-04,Emily Adamczyk,https://inaturalist.ca/observations/24697074,,64634,
Desdimelita californica,"(Alderman, 1936)",,amphipod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Hadzioidea,Melitidae,,Desdimelita,native,,,,reported,unobserved,1976-06-20,Rita M. O'Clair,CMN,CMNC 2006-0611,,,,,,1128629,
Desdimelita microdentata,"Jarrett & Bousfield, 1996",,amphipod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Hadzioidea,Melitidae,,Desdimelita,native,,,,reported,unobserved,1976-06-20,Rita M. O'Clair,CMN,CMNC 2007-0102,,,,,,1128632,
Photis brevipes,"Shoemaker, 1942",,amphipod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Photoidea,Photidae,,Photis,native,,,,reported,unobserved,1961-06-22,,RBCM,976-01146-002,1898291753,,,,,295828,
Chromopleustes oculatus,"(Holmes, 1908)",,black-and-white sea flea,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Amphilochoidea,Pleustidae,Parapleustinae,Chromopleustes,native,,,,reported,unobserved,1995-02-24,Charlie Gibbs,PMLS,,,,,,,796029,
Gnathopleustes pachychaetus,"Bousfield & Hendrycks, 1995",,amphipod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Amphilochoidea,Pleustidae,Parapleustinae,Gnathopleustes,native,,,,reported,unobserved,1976-06-20,Rita M. O'Clair,CMN,CMNC 2004-0232,,,,,,1128633,
Megalorchestia pugettensis,"(Dana, 1853)",,Puget Sound beach flea,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talidtroidea,Talitridae,,Megalorchestia,native,,,,new 2018,observed,,,,,,2018-08-01,Andrew Simon,https://www.inaturalist.org/observations/15038969,,345335,
Traskorchestia traskiana,"(Stimpson, 1857)",,Pacific beach hopper,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talidtroidea,Talitridae,,Traskorchestia,native,,,,new 2017,observed,,,,,,2017-03-30,Andrew Simon,https://www.inaturalist.org/observations/5516564,,130223,
Neotrypaea californiensis,"(Dana, 1854)",,bay ghost shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,,Callianassidae,,Neotrypaea,native,,,,confirmed,observed,1995-02-23,Charlie Gibbs,PMLS,,,2019-04-20,Natalie Kennedy,https://www.inaturalist.org/observations/22842052,,56659,
Cancer productus,"Randall, 1840",,red rock crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,Cancer,native,,,,confirmed,observed,1985-12-07,Andy Lamb,PMLS,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2976310,,47826,
Glebocarcinus oregonensis,"(Dana, 1852)",,pygmy rock crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,Glebocarcinus,native,,,,confirmed,observed,1986-04-08,,RBCM,986-00191-003,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2976002,,429951,
Metacarcinus gracilis,"(Dana, 1852)",,graceful crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,Metacarcinus,native,,,,confirmed,observed,1973-06-14,Philip Lambert,RBCM,973-00137-019,1898314378,2016-08-17,Andrew Simon,http://www.inaturalist.org/observations/3910088,,116721,
Metacarcinus magister,"(Dana, 1852)",,dungeness crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,Metacarcinus,native,,,,confirmed,observed,1996-05-29,Charlie Gibbs,PMLS,,,2018-05-29,Karolle Wall,https://www.inaturalist.org/observations/12970642,,63697,
Telmessus cheiragonus,"(Tilesius, 1815)",,helmet crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cheiragonidae,,Telmessus,native,,,,confirmed,observed,1996-05-29,Charlie Gibbs,PMLS,,,2017-05-29,Karolle Wall,https://www.inaturalist.org/observations/7659462,,180391,
Crangon nigricauda,"Stimpson, 1856",,blacktail bay shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Crangonoidea,Crangonidae,,Crangon,,,,,new 2018,observed,,,,,,2018-05-31,Karolle Wall,https://www.inaturalist.org/observations/13026269,,48812,
Metacrangon munita,"(Dana, 1852)",,coastal spinyhead,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Crangonoidea,Crangonidae,,Metacrangon,native,,,,reported,unobserved,1928-07-18,,RBCM,015-00224-001,1898292947,,,,,459610,
Chorilia longipes,"Dana, 1851",,longhorn decorator crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,,Chorilia,native,,,,confirmed,observed,2008-05-22,Jackson Chu,Chu (2010),,,2009-10-03,Jackson Chu,https://www.inaturalist.org/observations/8624646,,459559,
Pugettia gracilis,"Dana, 1851",,graceful kelp crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,Epialtinae,Pugettia,native,,,,confirmed,observed,,,RBCM,986-00191-004,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2976672,,130344,
Pugettia producta,"(Randall, 1840)",,northern kelp crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,Epialtinae,Pugettia,native,,,,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,,2016-02-07,Peter Luckham,http://www.inaturalist.org/observations/2763431,,49723,
Scyra acutifrons,"Dana, 1851",,sharpnose crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,Pisinae,Scyra,native,,,,confirmed,observed,1986-04-08,,RBCM,986-00191-009,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2854858,,47712,
Acantholithodes hispidus,"(Stimpson, 1860)",,hairy-spined crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Hapalogastridae,,Acantholithodes,native,,,,confirmed,observed,1994-09-10,Andy Lamb,PMLS,,,2007-10-23,Jackson Chu,https://www.inaturalist.org/observations/59908564,,450310,
Hapalogaster mertensii,"J.F. Brandt, 1850",,hairy crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Hapalogastridae,,Hapalogaster,native,,,,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,,,,,,51635,
Oedignathus inermis,"(Stimpson, 1860)",,granular claw crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Hapalogastridae,,Oedignathus,native,,,,confirmed,observed,2008-08-29,Andy Lamb,PMLS,,,1978-03-19,Rick Harbo,https://www.inaturalist.org/observations/31752288,,194566,
Placetron wosnessenskii,"Schalfeew, 1892",,scaled crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Hapalogastridae,,Placetron,native,,,,reported,unobserved,1999-07-31,Charlie Gibbs,PMLS,,,,,,,459657,
Cryptolithodes sitchensis,"J.F. Brandt, 1853",,umbrella crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,Cryptolithodes,native,,,,reported,unobserved,1999-10-02,Andy Lamb,PMLS,,,,,,,47395,
Cryptolithodes typicus,"J.F. Brandt, 1848",,butterfly crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,Cryptolithodes,native,,,,reported,unobserved,1985-07-29,Andy Lamb,PMLS,,,,,,,53845,
Lopholithodes foraminatus,"(Stimpson, 1859)",,brown box crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,Lopholithodes,native,,,,confirmed,observed,2008-05-22,Jackson Chu,Chu (2010),,,2008-05-24,Jackson Chu,https://www.inaturalist.org/observations/60467710,,459606,
Lopholithodes mandtii,"J.F. Brandt, 1848",,Puget Sound king crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,Lopholithodes,native,,,,confirmed,observed,1994-02-27,Charlie Gibbs,PMLS,,,2015-01-01,Peter Luckham,http://www.inaturalist.org/observations/2797301,,459608,
Phyllolithodes papillosus,"J.F. Brandt, 1848",,heart crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,Phyllolithodes,native,,,,reported,unobserved,1969-02-21,Andy Lamb,PMLS,,,,,,,424896,
Rhinolithodes wosnessenskii,"J.F. Brandt, 1848",,rhinoceros crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,Rhinolithodes,native,,,,reported,unobserved,1994-09-10,Andy Lamb,PMLS,,,,,,,459660,
Munida quadrispina,"Benedict, 1902",,squat lobster,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Galatheoidea,Munididae,,Munida,native,,,,confirmed,observed,2008-05-21,Jackson Chu,Chu (2010),,,2008-05-24,Jackson Chu,https://www.inaturalist.org/observations/60468460,,334674,
Hyas lyratus,"Dana, 1851",,Pacific lyre crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Oregoniidae,Oregoniinae,Hyas,native,,,,reported,unobserved,1961-05-13,Dan Quayle,RBCM,982-00207-001,1898319325,,,,,459591,
Oregonia gracilis,"Dana, 1851",,graceful decorator crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Oregoniidae,Oregoniinae,Oregonia,native,,,,confirmed,observed,1973-09-21,Andy Lamb,PMLS,,,2017-05-29,Karolle Wall,https://www.inaturalist.org/observations/7647272,,84267,
Discorsopagurus schmitti,"(Stevens, 1925)",,tubeworm hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,Discorsopagurus,native,,,,reported,unobserved,1986-09-30,,RBCM,986-00197-025,,,,,,459564,
Elassochirus gilli,"(Benedict, 1892)",,orange hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,Elassochirus,native,,,,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,,,,,,459568,
Elassochirus tenuimanus,"(Dana, 1851)",,widehand hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,Elassochirus,native,,,,reported,unobserved,1993-08-16,Andy Lamb,PMLS,,,,,,,459569,
Pagurus armatus,"(Dana, 1851)",,blackeyed hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,Pagurus,native,,,,reported,unobserved,1969-02-21,Andy Lamb,PMLS,,,,,,,459543,
Pagurus beringanus,"(Benedict, 1892)",,Bering hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,Pagurus,native,,,,confirmed,observed,1986-04-08,,RBCM,986-00191-005,,2015-05-16,Peter Luckham,http://www.inaturalist.org/observations/2854421,,362749,
Pagurus caurinus,"Hart, 1971",,Greenmark hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,Pagurus,native,,,,confirmed,observed,2005-12-10,Andy Lamb,PMLS,,,,,,,180026,
Pagurus granosimanus,"(Stimpson, 1859)",,grainy hermit crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,Pagurus,native,,,,confirmed,observed,1986-09-30,,RBCM,986-00197-039,,2013-05-09,Karolle Wall,http://www.inaturalist.org/observations/3910074,,127555,
Pagurus hirsutiusculus,"(Dana, 1851)",,hairy hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,Pagurus,native,,,,confirmed,observed,2016-01-23,Andy Lamb,PMLS,,,2016-08-26,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/3971319,,63219,
Pagurus kennerlyi,"(Stimpson, 1864)",,bluespine hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,Pagurus,native,,,,reported,unobserved,1999-10-02,Andy Lamb,PMLS,,,,,,,459637,
Pagurus ochotensis,"Brandt, 1851",,Alaskan hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,Pagurus,native,,,,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,,,,,,202044,
Pagurus quaylei,"Hart, 1971",,Quayle's hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,Pagurus,native,,,,reported,unobserved,2008-06-21,Andy Lamb,PMLS,,,,,,,366957,
Pagurus samuelis,"(Stimpson, 1857)",,blueband hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,Pagurus,native,,,,reported,unobserved,2009-03-19,Andy Lamb,PMLS,,,,,,,49095,
Pagurus stevensae,"Hart, 1971",,Stevens' hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,Pagurus,native,,,,reported,unobserved,2008-03-01,Andy Lamb,PMLS,,,,,,,459640,
Pandalus borealis,"Krøyer, 1838",,northern shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,Pandalus,native,,,,reported,unobserved,1956-01-29,W. Barraclough,RBCM,978-00057-001,1898295012,,,,,437504,
Pandalus danae,"Stimpson, 1857",,coonstripe shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,Pandalus,native,,,,confirmed,observed,1981-05-31,Andy Lamb,PMLS,,,2015-04-22,Karolle Wall,http://www.inaturalist.org/observations/3706255,,154708,
Pandalus eous,"Makarov, 1935",,spiny pink shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,Pandalus,native,,,,reported,unobserved,1995-02-23,Charlie Gibbs,PMLS,,,,,,,459644,
Pandalus lucidirimicolus,"(Jensen, 1998)",,sparkling shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,Pandalus,native,,,,reported,unobserved,1995-11-24,Daniel Kent,RBCM,997-00068-001,1898318861,,,,"reported as Pandalopsis lucidirimicola Jensen, 1998",459643,"The genus Pandalus is adopted instead of Pandalopsis as per WoRMS Editorial Board 2021, though there is some contention regarding this matter. ""Since generic splits are rather arbitrary, I am not sure why they split off Pandalus lucidirimicolus when all the Pandalopsis fall out together in their tree"" (Gregory Jensen pers. comm. 2019)."
Pandalus platyceros,"J.F. Brandt in von Middendorf, 1851",,Pacific prawn,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,Pandalus,native,,,,confirmed,observed,1995-02-25,Charlie Gibbs,PMLS,,,2008-05-24,Jackson Chu,https://www.inaturalist.org/observations/60468464,,180394,
Pandalus stenolepis,"Rathbun, 1902",,rough patch shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,Pandalus,native,,,,reported,unobserved,1995-02-23,Charlie Gibbs,PMLS,,,,,,,459645,
Lophopanopeus bellus,"(Stimpson, 1860)",,black-clawed crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Xanthoidea,Panopeidae,,Lophopanopeus,native,,,,confirmed,observed,2007-10-21,Andy Lamb,PMLS,,,2016-04-08,Karolle Wall,http://www.inaturalist.org/observations/2909657,,50818,
Fabia subquadrata,"Dana, 1851",,pea crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pinnotheroidea,Pinnotheridae,Pinnotherinae,Fabia,native,,,,reported,unobserved,1934-09-06,Joesphine F.L. Hart,RBCM,985-00143-001,1898269203,,,,,117669,
Petrolisthes eriomerus,"Stimpson, 1871",,flattop crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Galatheoidea,Porcellanidae,,Petrolisthes,native,,,,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,,2017-05-26,Kris Krüg,http://inaturalist.ca/observations/6371780,,47803,
Eusergestes similis,"(Hansen, 1903)",,Pacific sergestid,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Dendrobranchiata,Sergestoidea,Sergestidae,,Eusergestes,native,,,,reported,unobserved,1965-01-29,W. Barraclough,RBCM,015-00030-001,1898267324,,,,,459581,"Accessioned in the RBCM collections as Sergestes similis, an unaccepted synonym (WoRMS Editorial Board 2021)."
Eualus butleri,"Jensen, 2004",,sponge eualid,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,Eualus,native,,,,reported,unobserved,2016-01-23,Andy Lamb,PMLS,,,,,,,459508,
Heptacarpus brevirostris,"(Dana, 1852)",,stout coastal shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,Heptacarpus,native,,,,confirmed,observed,1976-06-20,Rita M. O'Clair,CMN,CMNC 2004-3237,,2017-05-26,Karolle Wall,https://www.inaturalist.org/observations/7674355,,63679,
Heptacarpus kincaidi,"(Rathbun, 1902)",,Kincaid's shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,Heptacarpus,native,,,,reported,unobserved,1996-09-28,Charlie Gibbs,PMLS,,,,,,,459524,
Heptacarpus stylus,"(Stimpson, 1864)",,stiletto shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,Heptacarpus,native,,,,reported,unobserved,2006-03-05,Andy Lamb,PMLS,,,,,,,458674,
Heptacarpus sitchensis,"(J.F. Brandt in von Middendorf, 1851)",,red-banded transparent shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,Heptacarpus,native,,,,new 2017,observed,,,,,,2017-05-26,Karolle Wall,https://www.inaturalist.org/observations/7674367,,67627,
Heptacarpus tridens,"(Rathbun, 1902)",,threespine shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,Heptacarpus,native,,,,reported,unobserved,1999-10-02,Andy Lamb,PMLS,,,,,,,459522,
Lebbeus eludus,"Jensen, 2006",,elusive lebbeid,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,Lebbeus,native,,,,reported,unobserved,2009-05-30,Andy Lamb,PMLS,,,,,,,459480,
Lebbeus grandimanus,"(Bražnikov, 1907)",,candy stripe shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,Lebbeus,native,,,,reported,unobserved,1996-09-28,Charlie Gibbs,PMLS,,,,,,,459598,
Lebbeus mundus,"Jensen, 2006",,cleaner lebbeid,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,Lebbeus,native,,,,reported,unobserved,2008-02-16,Andy Lamb,PMLS,,,,,,,459601,
Spirontocaris prionota,"(Stimpson, 1864)",,deep blade shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,Spirontocaris,native,,,,reported,unobserved,1986-09-30,,RBCM,986-00197-023,1898324901,,,,,424249,
